Employee ID,Employee Name,Hours Worked (Regular),Regular Wage Rate (₹),Regular Pay (₹),Overtime Hours,Overtime Wage Rate (₹),Overtime Pay (₹),Total Pay (₹),Pay Period End Date
E001,Rahul Sharma,160,250,40000,10,375,3750,43750,7/31/2025
E002,Priya Singh,150,280,42000,5,420,2100,44100,7/31/2025
E003,Amit Kumar,170,220,37400,8,330,2640,40040,7/31/2025
E004,Neha Gupta,165,260,42900,7,390,2730,45630,7/31/2025
E005,Sanjay Reddy,155,270,41850,12,405,4860,46710,7/31/2025
E006,Deepika Das,162,240,38880,6,360,2160,41040,7/31/2025
E007,Vikas Yadav,168,230,38640,9,345,3105,41745,7/31/2025
E008,Anjali Mehra,158,290,45820,4,435,1740,47560,7/31/2025
E009,Rajesh Kumar,175,210,36750,11,315,3465,40215,7/31/2025
E010,Shruti Joshi,163,255,41565,3,382.5,1147.5,42712.5,7/31/2025
E011,Alok Verma,160,245,39200,8,367.5,2940,42140,7/31/2025
E012,Reena Devi,152,275,41800,6,412.5,2475,44275,7/31/2025
E013,Manoj Tiwari,167,235,39245,9,352.5,3172.5,42417.5,7/31/2025
E014,Kavita Sharma,163,265,43195,5,397.5,1987.5,45182.5,7/31/2025
E015,Suresh Singh,158,285,45030,10,427.5,4275,49305,7/31/2025
E016,Pooja Yadav,166,225,37350,7,337.5,2362.5,39712.5,7/31/2025
E017,Rakesh Gupta,172,215,36980,11,322.5,3547.5,40527.5,7/31/2025
E018,Suman Kumari,159,295,46905,4,442.5,1770,48675,7/31/2025
E019,Naveen Kumar,164,250,41000,8,375,3000,44000,7/31/2025
E020,Jyoti Devi,161,270,43470,6,405,2430,45900,7/31/2025
E021,Anil Singh,170,220,37400,10,330,3300,40700,7/31/2025
E022,Meera Sharma,155,280,43400,5,420,2100,45500,7/31/2025
E023,Pawan Kumar,168,230,38640,7,345,2415,41055,7/31/2025
E024,Rina Gupta,163,260,42380,9,390,3510,45890,7/31/2025
E025,Vijay Reddy,157,270,42390,12,405,4860,47250,7/31/2025
E026,Shweta Das,162,240,38880,6,360,2160,41040,7/31/2025
E027,Brijesh Yadav,,,,,,,,
